from_vtd10,to_vtd20,weight
120090076,12009000305,0.0044796309
120090076,12009000311,0.6180864475
120090076,12009000318,0.0014787699
120090076,12009000324,0.3759551517
120090077,12009000507,1.0000000000
120090078,12009000404,1.0000000000
120090079,12009000211,0.9957141832
120090079,12009000238,0.0042858168
120090080,12009000200,0.0107526882
120090080,12009000212,0.9892473118
120090081,12009000212,0.1500000000
120090081,12009000213,0.8500000000
120090082,12009000210,0.0021501584
120090082,12009000214,0.9729213713
120090082,12009000227,0.0249284703
120090083,12009000210,0.0002051868
120090083,12009000214,0.9997948132
120090084,12009000203,1.0000000000
120090085,12009000206,0.9811320755
120090085,12009000217,0.0188679245
120090086,12009000215,0.9953054194
120090086,12009000221,0.0045774485
120090086,12009000226,0.0001171321
120090087,12009000109,1.0000000000
120090088,12009000111,1.0000000000
120090089,12009000100,0.0185185185
120090089,12009000112,0.9814814815
120090090,12009000405,1.0000000000
120090091,12009000405,0.9859154930
120090091,12009000409,0.0140845070
120090092,12009000409,0.0348837209
120090092,12009000411,0.0976101459
120090092,12009000432,0.1550458321
120090092,12009000434,0.0232558140
120090092,12009000508,0.5772085090
120090092,12009000515,0.1003680711
120090092,12009000529,0.0116279070
120090093,12009000411,0.2000000000
120090093,12009000432,0.4000000000
120090093,12009000508,0.3914620872
120090093,12009000515,0.0085379128
120090094,12009000203,0.0001073601
120090094,12009000216,0.9704808752
120090094,12009000217,0.0294117647
120090095,12009000205,0.0169491525
120090095,12009000217,0.9830508475
120090096,12009000203,0.0003463361
120090096,12009000216,0.9996536639
120090097,12009000113,0.8481012658
120090097,12009000125,0.1518987342
120090098,12009000105,1.0000000000
120090099,12009000115,1.0000000000
120090100,12009000114,0.9302748621
120090100,12009000116,0.0626941079
120090100,12009000127,0.0004520826
120090100,12009000134,0.0065789474
120090101,12009000115,1.0000000000
120090102,12009000114,0.0000452084
120090102,12009000116,0.9758866447
120090102,12009000136,0.0234414555
120090102,12095000545,0.0006266913
120090103,12009000116,1.0000000000
120090104,12009000100,0.0053752591
120090104,12009000105,0.9946247409
120090105,12009000406,0.9752027312
120090105,12009000412,0.0009877450
120090105,12009000431,0.0238095238
120090106,12009000218,0.2291666667
120090106,12009000222,0.0208333333
120090106,12009000236,0.7500000000
120090107,12009000422,0.2807993537
120090107,12009000426,0.4450574102
120090107,12009000427,0.0014159634
120090107,12009000511,0.2636451041
120090107,12009000518,0.0090821686
120090108,12009000511,0.9598205071
120090108,12009000518,0.0401794929
120090109,12009000422,0.0431827508
120090109,12009000426,0.9568172492
120090110,12009000400,0.0008380435
120090110,12009000403,0.0440289242
120090110,12009000407,0.8985383761
120090110,12009000408,0.0235772889
120090110,12009000414,0.0330173674
120090111,12009000407,1.0000000000
120090112,12009000509,1.0000000000
120090113,12009000402,0.0005738147
120090113,12009000404,0.0003455209
120090113,12009000408,0.6470806645
120090113,12009000502,0.3520000000
120090114,12009000308,1.0000000000
120090115,12009000510,1.0000000000
120090116,12009000409,1.0000000000
120090117,12009000135,0.0256410256
120090117,12009000219,0.9743490844
120090117,12009000228,0.0000098899
120090118,12009000220,1.0000000000
120090119,12009000215,0.0322580645
120090119,12009000220,0.8529569892
120090119,12009000226,0.1147849462
120090120,12009000208,0.0384637612
120090120,12009000221,0.9615362388
120090121,12009000222,0.9767441860
120090121,12009000223,0.0232558140
120090122,12009000222,0.9878059164
120090122,12009000236,0.0121940837
120090123,12009000511,0.9995642257
120090123,12009000518,0.0004357743
120090124,12009000512,0.8687183577
120090124,12009000525,0.1312816423
120090125,12009000223,1.0000000000
120090126,12009000118,1.0000000000
120090127,12009000224,1.0000000000
120090128,12009000433,1.0000000000
120090129,12009000211,0.0006880920
120090129,12009000238,0.9993119080
120090130,12009000417,0.7087680454
120090130,12009000433,0.2912319546
120090131,12009000433,1.0000000000
120090132,12009000412,0.8500000000
120090132,12009000417,0.0500000000
120090132,12009000439,0.1000000000
120090133,12009000433,1.0000000000
120090134,12009000433,1.0000000000
120090135,12009000433,1.0000000000
120090136,12009000238,1.0000000000
120090137,12009000410,0.9999027031
120090137,12009000427,0.0000972969
120090138,12009000409,0.0000695929
120090138,12009000411,0.9564313355
120090138,12009000432,0.0000208107
120090138,12009000434,0.0434782609
120090139,12009000131,0.0203697843
120090139,12009000135,0.9796302157
120090140,12009000120,1.0000000000
120090141,12009000219,1.0000000000
120090142,12009000200,0.0282739015
120090142,12009000237,0.1310160428
120090142,12009000239,0.0508021390
120090142,12009000412,0.7272727273
120090142,12009000417,0.0626351894
120090143,12009000510,0.1333333333
120090143,12009000513,0.8666666667
120090144,12009000412,0.0909090909
120090144,12009000416,0.9090909091
120090145,12009000503,0.0285750584
120090145,12009000504,0.0285714286
120090145,12009000507,0.9012013008
120090145,12009000511,0.0416522123
120090146,12009000507,1.0000000000
120090147,12009000507,0.5000000000
120090147,12009000511,0.5000000000
120090148,12009000432,0.0487804878
120090148,12009000434,0.0731707317
120090148,12009000515,0.8780487805
120090149,12009000508,0.0377004507
120090149,12009000515,0.9622995493
120090150,12009000315,1.0000000000
120090151,12009000302,0.0101439023
120090151,12009000304,0.0093693195
120090151,12009000312,0.9804867782
120090152,12009000510,0.0024038462
120090152,12009000516,0.7956730769
120090152,12009000517,0.0120192308
120090152,12009000520,0.1899038462
120090153,12009000000,0.2741531646
120090153,12009000126,0.0234108574
120090153,12009000205,0.0172764290
120090153,12009000225,0.6851595490
120090154,12009000313,1.0000000000
120090155,12009000510,0.0512820513
120090155,12009000517,0.9487179487
120090156,12009000314,0.9997855809
