district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
50,182522,37483,145061,105412,30496,203,3117,100,324,3274,957,971,203,1369,4076,33996,142040,25192,116849,88650,22601,218,2440,70,179,1219,784,625,119,1123,3034,23948
51,199806,69028,130769,97691,23378,118,3763,92,577,3639,739,738,43,898,4511,27062,154065,47008,107009,83736,16940,99,2936,92,358,1760,630,379,53,782,3339,18742
52,196107,15286,180821,162298,12651,357,1632,77,666,1537,922,662,19,1298,2294,14207,175580,11531,164049,148971,10718,325,1500,35,181,1074,770,449,26,1121,1949,11818
53,175741,27015,148729,134603,6674,318,2537,248,492,1905,941,915,67,1326,3453,8657,143651,20103,123552,113456,5077,240,1980,149,261,908,799,589,77,1116,2567,6064
54,192097,40686,151417,120531,17374,266,6853,63,921,3077,1076,1282,89,1431,8134,20532,150732,29530,121181,98992,13502,264,5007,62,659,1169,885,714,72,1219,5721,14731
55,191983,31301,160673,138660,9841,90,6244,17,776,2473,922,1459,106,1118,7703,12419,147950,22040,125929,110131,7727,95,4445,28,480,1186,734,899,78,909,5346,9001
56,168442,25765,142677,127748,8326,153,2080,112,328,2025,941,860,103,1197,2940,10452,137509,17370,120137,109995,5972,144,1731,92,215,781,722,379,103,969,2110,6856
57,172397,15722,156673,142707,6189,149,3210,120,286,2078,479,1319,148,776,4529,8410,145390,11056,134334,123582,5124,111,2729,83,235,1115,403,812,159,673,3541,6396
58,164177,21099,143106,121224,13721,93,3935,60,466,1817,611,777,335,1040,4724,15924,138005,14707,123326,107299,10236,85,3168,48,280,947,473,503,274,833,3673,11464
59,174034,19013,154985,130461,13454,163,5487,140,299,2745,1147,1021,107,1416,6496,16261,145087,13739,131317,114309,9617,135,4344,109,212,923,968,568,111,1213,4910,10647
60,170655,18186,152465,124474,11498,161,9626,171,608,2974,930,1691,358,1449,11319,14811,144296,13755,130526,108873,9323,145,8232,128,290,1546,755,944,259,1160,9160,11121
61,166514,15294,151219,133138,6204,277,6875,118,481,2166,734,1014,190,1204,7899,8567,144569,11743,132823,119025,5029,271,5701,84,292,1096,676,428,194,1147,6143,6323
62,168251,34607,133654,60687,63107,130,3280,77,1350,3141,813,800,267,1208,4068,66516,128744,24231,104526,51232,47446,97,2569,91,740,949,695,508,243,1036,3079,48640
63,155153,36674,118507,42197,67639,155,2726,159,509,3048,538,759,748,1401,3482,71471,118114,26421,91698,37481,48346,128,1927,141,363,1835,451,497,571,1090,2426,50721
64,144266,75846,68454,47270,12100,186,4641,105,604,2087,276,829,113,621,5469,14353,115776,58524,57268,40115,10428,168,3904,107,371,827,282,667,117,627,4576,11481
65,174106,28881,145181,121618,9752,48,6651,238,595,3144,795,2495,79,915,9150,12950,141856,22801,119046,101813,8094,44,5198,157,333,1652,662,1312,59,757,6503,9723
66,172753,45399,127361,101959,11763,165,8685,8,587,2002,560,1407,298,1023,10089,13994,133627,32493,101135,83000,9110,171,6174,18,435,939,477,647,164,812,6820,10222
67,163303,38758,124523,74233,31891,115,11957,339,1256,2569,689,1258,179,983,13217,34657,128766,27733,101030,63350,24660,93,8802,311,734,1364,545,989,138,776,9789,26157
68,167125,44345,122774,97165,17507,101,3754,149,787,1457,820,1038,9,936,4797,18954,127693,28361,99333,79800,13856,65,3046,98,441,676,698,667,14,782,3723,14538
69,174625,40660,134063,96697,26314,181,4943,8,1356,2400,762,1411,184,1127,6350,28886,128618,26764,101903,74781,19711,144,3493,9,605,1518,686,849,169,996,4336,21413
70,191652,35088,156450,112957,31182,102,3912,300,789,4575,829,1607,41,966,5513,35827,148664,22924,125698,96218,22276,103,3205,145,598,1648,557,853,28,686,4054,23961
71,166411,31055,135418,110835,17865,51,2205,61,645,2466,814,364,99,967,2568,20412,133831,17703,116139,98329,13456,69,1788,62,344,1156,661,234,93,825,2025,14670
72,177915,22296,155581,137046,8385,145,4833,26,172,2352,882,1644,75,1099,6484,10829,147535,15597,131917,118724,6325,112,4003,16,88,897,720,923,68,898,4926,7309
73,178386,14579,163821,147936,10283,119,2656,123,228,939,527,941,38,684,3596,11257,157145,10879,146281,134780,7432,99,2264,98,175,386,498,468,60,657,2731,7878
74,191004,20923,170056,153879,7641,163,3929,86,486,1879,887,1095,20,1074,5030,9540,157517,14998,142494,130588,5925,167,3153,87,343,936,725,555,11,906,3709,6872
75,188515,13013,175513,163550,5667,298,2255,52,456,1305,889,1049,14,1197,3299,6989,167277,9711,157576,148277,4596,233,2041,61,331,698,864,492,8,1102,2533,5302
76,184555,24023,160563,145259,9289,175,1934,86,386,1769,987,526,102,1262,2465,11191,157388,16315,141088,129298,7334,174,1569,86,386,1051,746,308,96,1015,1878,8489
77,184367,58747,125601,94106,23779,99,2760,101,642,2234,740,1236,71,900,4007,26073,136581,38068,98604,77548,16016,84,2218,101,418,1000,533,699,60,667,2933,17057
78,166126,26967,139365,108741,23275,162,3338,39,404,1775,722,616,120,1014,3948,25183,137760,17698,120160,97260,17504,142,2666,31,369,1093,543,358,109,802,3016,18730
